id,type,name
AL,state,Alabama
AL001,county,Autauga
AL003,county,Baldwin
AL005,county,Barbour
AL007,county,Bibb
AL009,county,Blount
AL011,county,Bullock
AL013,county,Butler
AL015,county,Calhoun
AL017,county,Chambers
AL019,county,Cherokee
AL021,county,Chilton
AL023,county,Choctaw
AL025,county,Clarke
AL027,county,Clay
AL029,county,Cleburne
AL031,county,Coffee
AL033,county,Colbert
AL035,county,Conecuh
AL037,county,Coosa
AL039,county,Covington
AL041,county,Crenshaw
AL043,county,Cullman
AL045,county,Dale
AL047,county,Dallas
AL049,county,DeKalb
AL051,county,Elmore
AL053,county,Escambia
AL055,county,Etowah
AL057,county,Fayette
AL059,county,Franklin
AL061,county,Geneva
AL063,county,Greene
AL065,county,Hale
AL067,county,Henry
AL069,county,Houston
AL071,county,Jackson
AL073,county,Jefferson
AL075,county,Lamar
AL077,county,Lauderdale
AL079,county,Lawrence
AL081,county,Lee
AL083,county,Limestone
AL085,county,Lowndes
AL087,county,Macon
AL089,county,Madison
AL091,county,Marengo
AL093,county,Marion
AL095,county,Marshall
AL097,county,Mobile
AL099,county,Monroe
AL101,county,Montgomery
AL103,county,Morgan
AL105,county,Perry
AL107,county,Pickens
AL109,county,Pike
AL111,county,Randolph
AL113,county,Russell
AL115,county,St. Clair
AL117,county,Shelby
AL119,county,Sumter
AL121,county,Talladega
AL123,county,Tallapoosa
AL125,county,Tuscaloosa
AL127,county,Walker
AL129,county,Washington
AL131,county,Wilcox
AL133,county,Winston
